trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Tobacco smoking: Ex-smoker	Work environment	0.0811	0.1183	0.479222764227642		-0.0023	0.0502	-0.0462	0.9632	0.985325696594427		-0.0811	0.0519	-1.5619	0.1183	0.479222764227642		-0.0476	0.0498	-0.9557	0.3392	0.636563187855787		0.0765	0.0076	1.0095	0.0082	0.0214	0.0059	Medical information - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22506
Fraction of day affected during worst episode of depression	Mental health	0.0777	0.2589	0.480397936210131		-0.0777	0.0688	-1.129	0.2589	0.480397936210131		-0.0357	0.0673	-0.5299	0.5962	0.86839734904271		-0.0591	0.067	-0.8828	0.3774	0.660616991150443		0.0396	0.0069	0.9959	0.0062	0.0084	0.0048	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20436
Non-cancer illness code, self-reported: heart attack/myocardial infarction	Medical history and conditions	0.0665	0.1343	0.488941217798595		0.0393	0.0494	0.7954	0.4264	0.650786419753086		0.0665	0.0444	1.4972	0.1343	0.519319011406844		0.0581	0.0464	1.2516	0.2107	0.488941217798595		0.0195	0.0017	1.0118	0.0077	0.0091	0.0057	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Diagnoses - main ICD10: M23 Internal derangement of knee	Medical history and conditions	0.0671	0.2697	0.49856691588785		0.0671	0.0608	1.1037	0.2697	0.49856691588785		-0.0205	0.0624	-0.3284	0.7426	0.92030225281602		0.0223	0.0609	0.3657	0.7146	0.879029104477612		0.0132	0.0018	1.0026	0.0071	-0.0016	0.0055	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Non-cancer illness code, self-reported: gout	Medical history and conditions	0.0498	0.2337	0.500588992537313		0.0488	0.0444	1.1	0.2713	0.500588992537313		0.0488	0.0415	1.1747	0.2401	0.643919189189189		0.0498	0.0418	1.1908	0.2337	0.523076072234763		0.0241	0.0068	0.9948	0.02	0.0068	0.0058	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Coffee type: Ground coffee (include espresso, filter etc)	Lifestyle and environment	0.0463	0.1261	0.500855020080321		-0.0147	0.0356	-0.4112	0.681	0.836478039702233		-0.0463	0.0303	-1.5296	0.1261	0.500855020080321		-0.0345	0.0316	-1.0901	0.2757	0.569242797494781		0.0663	0.0031	1.026	0.0086	0.0116	0.0061	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1508
Milk type used: Never/rarely have milk	Lifestyle and environment	0.0562	0.2724	0.503875278810409		0.0562	0.0514	1.0936	0.2741	0.503875278810409		0.0489	0.0485	1.0079	0.3135	0.709009132420091		0.0543	0.0494	1.0976	0.2724	0.56701281512605		0.0139	0.0017	1.0077	0.0068	6e-04	0.005	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1418
Tobacco smoking: Never smoked	Work environment	0.0511	0.2752	0.504958812615955		-0.0511	0.0469	-1.0911	0.2752	0.504958812615955		0.0234	0.0522	0.4479	0.6542	0.897907894736842		-0.0112	0.0488	-0.23	0.8181	0.92347875		0.0927	0.0082	1.0147	0.0081	-0.0204	0.0057	Medical information - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22506
Intra-ocular pressure, corneal-compensated (right)	Physical measures	0.0427	0.2772	0.506748243992606		0.0427	0.0393	1.0867	0.2772	0.506748243992606		0.0207	0.0445	0.4662	0.641	0.891630098452883		0.0323	0.0418	0.7722	0.44	0.714349836065574		0.1492	0.0105	1.0283	0.0102	-0.0027	0.0053	Intraocular pressure - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5254
Arm fat mass (left)	Physical measures	0.0381	0.1291	0.508684860557769		0.0214	0.0245	0.8717	0.3834	0.602834022257552		-0.0381	0.0251	-1.5178	0.1291	0.508684860557769		-0.0156	0.0243	-0.6431	0.5202	0.769418452380952		0.231	0.0076	1.0597	0.018	0.0088	0.0074	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23124
Diagnoses - main ICD10: T81 Complications of procedures, not elsewhere classified	Medical history and conditions	0.1262	0.2796	0.509589522058824		0.1262	0.1168	1.0813	0.2796	0.509589522058824		0.0525	0.0959	0.5479	0.5838	0.864823922734027		0.0898	0.1054	0.8519	0.3943	0.679180612244898		0.0035	0.0011	1.0038	0.0058	-4e-04	0.0053	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Diagnoses - main ICD10: R55 Syncope and collapse	Medical history and conditions	0.0808	0.2802	0.509589522058824		0.0808	0.0749	1.0799	0.2802	0.509589522058824		-0.0029	0.0678	-0.0434	0.9654	0.998404284221526		0.0307	0.0678	0.4529	0.6506	0.83890925684485		0.0061	0.0012	1.0057	0.0068	0.0014	0.0047	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
6mm asymmetry angle (right)	Physical measures	0.0783	0.2803	0.509589522058824		0.0783	0.0725	1.0797	0.2803	0.509589522058824		0.0365	0.0684	0.5336	0.5936	0.867052507374631		0.0629	0.0684	0.9205	0.3573	0.650772928176796		0.0609	0.012	1.0024	0.0073	-0.0082	0.0054	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5109
Coffee consumed	Diet by 24-hour recall	0.1062	0.2782	0.509743302752294		-0.0956	0.0886	-1.0784	0.2809	0.509743302752294		-0.102	0.105	-0.9715	0.3313	0.725996017699115		-0.1062	0.098	-1.0843	0.2782	0.572676141078838		0.0348	0.0095	1.001	0.0061	0.0036	0.005	Hot/cold beverages yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100240
Folate	Diet by 24-hour recall	0.115	0.1412	0.51179020979021		-0.0636	0.0826	-0.7697	0.4415	0.662030606060606		-0.115	0.0782	-1.4712	0.1412	0.522915298507463		-0.0971	0.0795	-1.2212	0.222	0.51179020979021		0.0452	0.0094	0.9963	0.0068	4e-04	0.0052	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100014
Frequency of light DIY in last 4 weeks	Lifestyle and environment	0.0619	0.2248	0.512006436781609		0.06	0.0565	1.0611	0.2887	0.5176125		0.0587	0.0508	1.1555	0.2479	0.650326525198939		0.0619	0.051	1.2139	0.2248	0.512006436781609		0.0219	0.0028	1.0032	0.0065	-0.0016	0.0048	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1011
Diagnoses - main ICD10: S52 Fracture of forearm	Medical history and conditions	0.0901	0.2701	0.513775591985428		0.0803	0.0751	1.0686	0.2852	0.513775591985428		0.083	0.0918	0.9041	0.366	0.754689249492901		0.0901	0.0817	1.1029	0.2701	0.563563080168776		0.0072	0.0015	1.0064	0.0059	0.0063	0.0052	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Alcohol intake frequency.	Lifestyle and environment	0.0347	0.2851	0.513775591985428		0.0347	0.0325	1.0689	0.2851	0.513775591985428		-0.01	0.03	-0.3333	0.7389	0.92030225281602		0.0069	0.0307	0.2254	0.8217	0.92347875		0.082	0.0039	1.0406	0.0111	-0.0148	0.0062	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1558
Loneliness, isolation	Mental health	0.0401	0.2876	0.517157090909091		0.0401	0.0377	1.0634	0.2876	0.517157090909091		0.0215	0.0351	0.6132	0.5398	0.838088226059655		0.033	0.0358	0.9211	0.357	0.650772928176796		0.0371	0.0022	1.0173	0.0078	0.0068	0.0052	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2020
Impedance of leg (right)	Physical measures	0.0302	0.2889	0.5176125		-0.0302	0.0285	-1.0605	0.2889	0.5176125		0.0227	0.0313	0.7234	0.4695	0.800748965517241		7e-04	0.0301	0.0216	0.9828	0.997317743589743		0.2379	0.0087	1.0968	0.0229	-0.0083	0.0078	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23107
Victim of physically violent crime	Mental health	0.0816	0.135	0.519319011406844		0.0432	0.0626	0.69	0.4902	0.701005483405483		-0.0816	0.0546	-1.4945	0.135	0.519319011406844		-0.0318	0.058	-0.5484	0.5834	0.806968671328671		0.0293	0.0048	1.0018	0.007	-0.0019	0.0057	Traumatic events - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20529
Diagnoses - main ICD10: I48 Atrial fibrillation and flutter	Medical history and conditions	0.0751	0.1378	0.519319011406844		0.014	0.0549	0.2549	0.7988	0.904471052631579		0.0751	0.0506	1.484	0.1378	0.519319011406844		0.0512	0.0514	0.9944	0.32	0.619334637964775		0.0183	0.0025	1.0111	0.0089	0.0127	0.0052	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Breathing problems during period of job: Yes	Work environment	0.0661	0.2908	0.519982342342342		0.0661	0.0626	1.0564	0.2908	0.519982342342342		0.0238	0.0683	0.3484	0.7275	0.915233418043202		0.0452	0.0639	0.7071	0.4795	0.734554489164087		0.03	0.0054	1.0089	0.0066	0.0054	0.005	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22616
Transport type for commuting to job workplace: Cycle	Sociodemographics	0.0541	0.2918	0.519982342342342		-0.0541	0.0514	-1.0543	0.2918	0.519982342342342		-2e-04	0.0464	-0.0051	0.9959	0.9998		-0.0209	0.0487	-0.4296	0.6675	0.849600513478819		0.0322	0.0031	1.0126	0.0079	-0.0053	0.0052	Employment - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6143
Years since last cervical smear test	Maternity and sex-specific factors	0.0957	0.2932	0.520554301075269		0.0957	0.0911	1.0511	0.2932	0.520554301075269		0.0721	0.0864	0.8349	0.4038	0.771152702702703		0.0871	0.0891	0.9777	0.3282	0.627833268858801		0.0144	0.0028	1.0014	0.0065	-0.0033	0.0055	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2704
Meniscus derangement	Medical history and conditions	0.0635	0.2937	0.520554301075269		0.0635	0.0605	1.0501	0.2937	0.520554301075269		-0.0155	0.0619	-0.251	0.8018	0.95099785202864		0.0234	0.0605	0.3868	0.6989	0.871891424968474		0.0124	0.0019	1.0058	0.0073	-5e-04	0.0054	NA	NA
Age started smoking in former smokers	Lifestyle and environment	0.0673	0.1415	0.522915298507463		0.0156	0.054	0.2883	0.7731	0.89391273364486		0.0673	0.0458	1.4702	0.1415	0.522915298507463		0.0498	0.0486	1.0244	0.3056	0.605268		0.069	0.0071	1.0157	0.0073	-0.0114	0.0059	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2867
Dorsalgia	Medical history and conditions	0.0906	0.1417	0.522915298507463		-0.0072	0.0598	-0.1205	0.9041	0.957339293361884		-0.0906	0.0617	-1.4694	0.1417	0.522915298507463		-0.0582	0.0607	-0.9586	0.3378	0.636563187855787		0.0142	0.0016	0.9974	0.0068	2.7263e-06	0.0057	NA	NA
Diagnoses - main ICD10: M54 Dorsalgia	Medical history and conditions	0.0906	0.1417	0.522915298507463		-0.0072	0.0598	-0.1205	0.9041	0.957339293361884		-0.0906	0.0617	-1.4694	0.1417	0.522915298507463		-0.0582	0.0607	-0.9586	0.3378	0.636563187855787		0.0142	0.0016	0.9974	0.0068	2.7263e-06	0.0057	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Non-butter spread type details: Flora Pro-Active or Benecol	Lifestyle and environment	0.0894	0.146	0.525069090909091		0.0142	0.0746	0.1908	0.8487	0.926330693069307		0.0894	0.0615	1.4536	0.146	0.525069090909091		0.0596	0.0645	0.9237	0.3557	0.650772928176796		0.0123	0.0029	1.0103	0.0077	0.0095	0.0057	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2654
LDL direct (mmol/L)	Biological samples	0.0592	0.2376	0.528059325842697		0.0518	0.0517	1.0011	0.3168	0.541814853195164		0.0582	0.0494	1.1775	0.239	0.643919189189189		0.0592	0.0501	1.181	0.2376	0.528059325842697		0.052	0.0405	1.3651	0.285	-0.0112	0.0079	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30780
Tinnitus: Yes, now some of the time	Medical history and conditions	0.1085	0.2991	0.528231964285714		0.1085	0.1044	1.0385	0.2991	0.528231964285714		0.0449	0.1082	0.4147	0.6783	0.901988903566711		0.0771	0.1043	0.7395	0.4596	0.71870458135861		0.0107	0.0037	0.9963	0.0063	-0.0039	0.0052	Hearing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4803
Red blood cell (erythrocyte) count	Biological samples	0.0598	0.1499	0.530527857142857		0.0158	0.0364	0.4331	0.6649	0.827152327044025		0.0598	0.0415	1.4399	0.1499	0.530527857142857		0.0459	0.041	1.1209	0.2623	0.557627659574468		0.2024	0.0206	1.2151	0.0477	-0.0075	0.0081	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30010
Bilateral oophorectomy (both ovaries removed)	Maternity and sex-specific factors	0.0913	0.1566	0.537987943262411		0.0666	0.0652	1.0226	0.3065	0.537987943262411		-0.0913	0.0644	-1.4166	0.1566	0.538112152777778		-0.0256	0.0639	-0.3998	0.6893	0.864027503168568		0.0214	0.0031	1.0127	0.0075	0.0015	0.0055	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2834
Cancer diagnosed by doctor	Medical history and conditions	0.0713	0.3066	0.537987943262411		0.0713	0.0697	1.0223	0.3066	0.537987943262411		0.0355	0.063	0.5631	0.5734	0.861073373676248		0.0557	0.0638	0.8725	0.3829	0.665532688927944		0.0072	0.0014	1.0091	0.0067	3e-04	0.0048	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2453
Mineral and other dietary supplements: Glucosamine	Medications	0.0481	0.3068	0.537987943262411		0.0481	0.0471	1.0219	0.3068	0.537987943262411		0.0367	0.0429	0.8562	0.3919	0.763749409448819		0.0424	0.0432	0.9819	0.3261	0.626175		0.0237	0.0019	1.0086	0.0071	-0.0048	0.0054	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179
How are people in household related to participant: Son and/or daughter (include step-children)	Sociodemographics	0.0794	0.3084	0.538029929577465		-0.0794	0.078	-1.0186	0.3084	0.538029929577465		-0.028	0.0703	-0.3984	0.6904	0.901988903566711		-0.0555	0.0714	-0.7767	0.4373	0.712503624382208		0.0059	0.0015	1.0073	0.0069	-0.0118	0.0054	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6141
6mm cylindrical power (left)	Physical measures	0.0866	0.3087	0.538029929577465		-0.0866	0.0851	-1.0179	0.3087	0.538029929577465		-0.0245	0.0696	-0.3521	0.7248	0.914320408163265		-0.056	0.0751	-0.7453	0.4561	0.71870458135861		0.0348	0.0071	1.0166	0.0064	-0.004	0.0056	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5118
Number of diet questionnaires completed	Diet by 24-hour recall	0.052	0.3097	0.538224210526316		-0.052	0.0512	-1.0158	0.3097	0.538224210526316		-0.0351	0.0498	-0.7055	0.4805	0.803061317567568		-0.0442	0.0491	-0.8993	0.3685	0.656546582733813		0.0364	0.0038	1.0156	0.007	-0.0014	0.0057	Diet questionnaire performance - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20077
Arm fat mass (right)	Physical measures	0.0339	0.1781	0.538244230769231		0.0249	0.0245	1.0125	0.3113	0.538244230769231		-0.0339	0.0252	-1.3468	0.1781	0.552165830721003		-0.0116	0.0244	-0.4769	0.6334	0.824253421052632		0.2304	0.0077	1.0613	0.0181	0.0093	0.0074	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23120
FI9 : concept interpolation	Cognitive function	0.0537	0.311	0.538244230769231		-0.0537	0.053	-1.0131	0.311	0.538244230769231		-0.0096	0.0569	-0.1697	0.8653	0.978086120591581		-0.0292	0.0544	-0.5379	0.5906	0.810403883495146		0.1614	0.0169	1.0032	0.0075	-0.0045	0.0055	Fluid intelligence / reasoning - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5556
Illnesses of father: Lung cancer	Family history and early life factors	0.0627	0.3001	0.541814853195164		0.0627	0.0626	1.0017	0.3165	0.541814853195164		0.0501	0.0563	0.8899	0.3735	0.754689249492901		0.0612	0.0591	1.0363	0.3001	0.600807489878542		0.0164	0.0019	0.9878	0.0072	-0.0063	0.0059	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20107
Home location - north co-ordinate (rounded)	Lifestyle and environment	0.0552	0.3158	0.541814853195164		0.0552	0.0551	1.0031	0.3158	0.541814853195164		0.0234	0.0501	0.467	0.6405	0.891630098452883		0.0392	0.0514	0.7622	0.4459	0.71498788368336		0.017	0.002	1.2749	0.0097	-0.0012	0.0055	Home locations - Local environment - Additional exposures	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22704
Job involves shift work	Sociodemographics	0.0531	0.3161	0.541814853195164		0.0531	0.053	1.0025	0.3161	0.541814853195164		-0.0142	0.0468	-0.3026	0.7622	0.927475705521472		0.014	0.0492	0.2845	0.776	0.902898823529412		0.0262	0.0026	1.0037	0.0068	0.0122	0.0052	Employment - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=826
Diagnoses - main ICD10: H25 Senile cataract	Medical history and conditions	0.0729	0.3162	0.541814853195164		0.0729	0.0728	1.0022	0.3162	0.541814853195164		-0.0589	0.0791	-0.7443	0.4567	0.799657417102967		4e-04	0.0735	0.0054	0.9957	0.997717629179331		0.0084	0.0016	1.0073	0.007	0.0043	0.0051	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
How are people in household related to participant: Other unrelated	Sociodemographics	0.1404	0.3167	0.541814853195164		-0.1404	0.1402	-1.0013	0.3167	0.541814853195164		-0.029	0.1353	-0.2145	0.8301	0.97142543554007		-0.0858	0.1348	-0.6366	0.5244	0.770070029673591		0.0025	0.0013	1.0006	0.0067	0.0036	0.0048	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6141
Neck/shoulder pain for 3+ months	Medical history and conditions	0.0869	0.3172	0.541814853195164		-0.0869	0.0869	-1.0001	0.3172	0.541814853195164		-0.0172	0.1004	-0.1712	0.864	0.978086120591581		-0.0552	0.093	-0.5935	0.5529	0.789059307359307		0.0214	0.0058	1.0079	0.0071	0.0083	0.005	Pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3404
Low back pain	Medical history and conditions	0.0994	0.1621	0.544281879194631		0.0024	0.061	0.0391	0.9688	0.985744032921811		-0.0994	0.0711	-1.3982	0.1621	0.544281879194631		-0.058	0.0656	-0.8844	0.3765	0.660616991150443		0.0107	0.0016	0.9904	0.007	-0.0076	0.0053	NA	NA
Smoking status: Previous	Lifestyle and environment	0.0454	0.1631	0.544281879194631		0.0255	0.0378	0.6745	0.5	0.706993714285714		-0.0454	0.0325	-1.3949	0.1631	0.544281879194631		-0.0128	0.0346	-0.3704	0.7111	0.877768329177057		0.0525	0.0029	1.0233	0.0096	0.0126	0.0062	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20116
Waking too early	Mental health	0.0938	0.3205	0.545567125645439		0.0938	0.0944	0.9934	0.3205	0.545567125645439		-0.031	0.0944	-0.3288	0.7423	0.92030225281602		0.0254	0.0952	0.2671	0.7894	0.905703712296984		0.0387	0.0098	1.0078	0.0064	-0.0081	0.0056	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20535
Diagnoses - main ICD10: K80 Cholelithiasis	Medical history and conditions	0.0459	0.3215	0.546329037800687		-0.0459	0.0463	-0.9915	0.3215	0.546329037800687		0.0182	0.054	0.3363	0.7366	0.92030225281602		-0.012	0.0492	-0.245	0.8064	0.916700689655172		0.0141	0.0021	1.0294	0.0092	0.0022	0.0046	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Number of spontaneous miscarriages	Maternity and sex-specific factors	0.1399	0.1667	0.546350485436893		-0.0548	0.107	-0.5122	0.6085	0.79420092348285		-0.1399	0.1012	-1.3828	0.1667	0.546350485436893		-0.1084	0.101	-1.0732	0.2832	0.578687603305785		0.0185	0.008	1.0008	0.0065	7e-04	0.0048	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3839
